"name_csv"," predict_var"," drop_feature","nb_features","learning_rate1","learning_rate2"," nb_node_layer1","nb_node_layer2","batch_size"," nb_epochs "," training_size","mape_train","mape_test","time"
feature_importanceRF.csv,GZIP-vmlinux,True,500,2,0.025,200,300,50,30,0.9,5.101871824062965,5.273673587519189,92.42173782100008
feature_importanceRF.csv,GZIP-vmlinux,True,500,5,0.025,200,300,50,30,0.9,28.267397566118103,28.2172663419143,94.30556301900015
feature_importanceRF.csv,GZIP-vmlinux,True,500,10,0.025,200,300,50,30,0.9,28.263213458268538,28.255190175512563,97.16994882200015
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.005,200,300,50,30,0.9,3.2703712044130775,3.9689340358195095,117.59788881500026
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.01,200,300,50,30,0.9,3.2154299451245203,3.8928224094535993,121.68483981700047
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.015,200,300,50,30,0.9,3.142849015728863,3.9720706239990564,118.00601140599974
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.02,200,300,50,30,0.9,3.138090092562823,3.8323856760626254,119.96036026100046
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,30,0.9,3.059344329263853,3.8161284729190497,119.25296427000012
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.03,200,300,50,30,0.9,3.0851977681336193,3.942578701869301,134.75359862799996
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.04,200,300,50,30,0.9,3.0874523795457276,3.824946895889614,141.93149013600032
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.05,200,300,50,30,0.9,3.099181012254982,3.752506963584734,151.87566388899904
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,1,0.9,7.970946170569618,8.052412030489549,107.07120067999858
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,2,0.9,6.434049169222514,6.622119294560474,114.31618735499978
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,5,0.9,4.94505293674515,5.113932837610659,125.17378599400035
