,pvalue,ttest
XEN_BLKDEV_FRONTEND,2.376523381612525e-15,7.921290518760937
DVB_USB_TTUSB2,2.2911275226514896e-15,7.92584175813798
EFI_VARS_PSTORE_DEFAULT_DISABLE,2.2350627598753446e-15,7.928921537129762
BIG_KEYS,2.230777983855889e-15,7.929160030938147
VIDEO_CX88_ALSA,2.162706273194203e-15,7.9330106975062
SERIAL_ALTERA_UART_CONSOLE,2.1040844311084076e-15,7.936423697822849
WLCORE_SPI,2.0883156170566026e-15,7.937357756079138
DRM_KMS_CMA_HELPER,2.075376648326815e-15,7.93812939267039
DRM_GEM_CMA_HELPER,2.075376648326815e-15,7.93812939267039
DVB_CX24117,1.9963801738940453e-15,7.9429457935048084
RT2X00_LIB_CRYPTO,1.9424911148090984e-15,7.946340330849033
MFD_88PM860X,1.837983163761645e-15,7.95319626963466
USB_COMMON,1.8113626658265576e-15,7.955003996319723
VIDEO_TLV320AIC23B,1.7159336313409426e-15,7.961706597180658
HISAX_NETJET,1.6882797794409973e-15,7.9637176190378165
HISAX_HFC_PCI,1.6800926288532528e-15,7.9643192260077855
WL1251_SDIO,1.6674333725970937e-15,7.96525515951164
UBIFS_FS_ENCRYPTION,1.6480015040233593e-15,7.96670551568723
P54_USB,1.647352042097988e-15,7.966754280628823
DM_MQ_DEFAULT,1.6046124329755837e-15,7.970005741973264
BT_BNEP_PROTO_FILTER,1.5958244710618982e-15,7.970684859602236
AIX_PARTITION,1.524580984634267e-15,7.976330427415412
ATM_NICSTAR_USE_SUNI,1.4708550573854685e-15,7.980762455357402
MFD_WM831X_I2C,1.4166997287614505e-15,7.985394309286945
NET_EGRESS,1.3308554217623491e-15,7.993106433744337
SND_ES1968_INPUT,1.3197247031470182e-15,7.994142105044406
TRACER_SNAPSHOT_PER_CPU_SWAP,1.3046908215779572e-15,7.99555469438116
DVB_CX22702,1.2836390220520064e-15,7.997559913496076
ATH_DEBUG,1.2320916127309187e-15,8.002610018801832
USBIP_DEBUG,1.1845898109761754e-15,8.00745155648541
SYSV68_PARTITION,1.157488457873861e-15,8.010300234965891
ROADRUNNER_LARGE_RINGS,1.0678572960902297e-15,8.020213019197723
RTC_DRV_ZYNQMP,1.058998791995408e-15,8.021236870057308
F2FS_IO_TRACE,1.0509150264505241e-15,8.022178567566764
REGULATOR_PCAP,1.0464406522131272e-15,8.022702871000535
EBC_C384_WDT,1.0225452698338823e-15,8.025540851066856
F2FS_STAT_FS,9.236135064473669e-16,8.038030881949878
RT2800PCI,8.942846057298529e-16,8.04198786731648
RT2800_LIB_MMIO,8.942846057298529e-16,8.04198786731648
SQUASHFS_XATTR,8.412308878790482e-16,8.049482033793078
RTC_DRV_MAX6916,8.314305438792451e-16,8.05091721008204
SND_DESIGNWARE_PCM,8.267488799289622e-16,8.051608692655153
NFT_MASQ_IPV4,8.239479019732735e-16,8.05202424450123
TCG_XEN,8.23011571086191e-16,8.052163468590653
TASK_XACCT,8.043787069512768e-16,8.054966950888389
LIBERTAS_THINFIRM_USB,8.038815430195902e-16,8.055042627024866
CIFS_POSIX,7.693449160363033e-16,8.060415810393145
USB_DWC3_DUAL_ROLE,7.5493549828008e-16,8.06272823115034
DVB_HELENE,7.262174866402191e-16,8.067469526238087
BATTERY_CPCAP,6.950547520139841e-16,8.07282813825749
CW1200_WLAN_SPI,6.920835540621965e-16,8.073351357141886
SCHEDSTATS,6.57455875319262e-16,8.079617884563067
NCPFS_IOCTL_LOCKING,6.425330013680992e-16,8.082419375854043
DVB_ATBM8830,6.332189701373271e-16,8.084200593878698
DVB_USB_M920X,6.325261339413162e-16,8.084334121890686
USB_CONFIGFS_ECM,6.263637611512821e-16,8.085528157076302
DONGLE,5.94942523564052e-16,8.091802285980512
MFD_TPS65090,5.9408252734166e-16,8.0919785633446
EXT4_DEBUG,5.636873126875564e-16,8.098375950244892
QED_ISCSI,5.633556078437379e-16,8.098447624449136
GPIO_74X164,5.541541882199088e-16,8.100452607949633
PTP_1588_CLOCK_KVM,5.524121391775897e-16,8.100835890156995
RT2X00_LIB_FIRMWARE,5.311778855378393e-16,8.105606006491321
CAN_CALC_BITTIMING,5.211508018346292e-16,8.107924220299399
HISAX_SEDLBAUER,5.069113818395774e-16,8.111292979988109
VIDEO_COBALT,4.870613441020532e-16,8.11614810425462
FB_NOTIFY,4.779196168959495e-16,8.11845003593502
DRM_MEDFIELD,4.713548517314665e-16,8.120130003504178
PNFS_FILE_LAYOUT,4.667920946655346e-16,8.121311281831993
VIDEO_CX231XX_ALSA,4.1851570506201736e-16,8.134557431974807
RTC_DRV_DS1302,4.022477879822943e-16,8.139362739944094
NETFILTER_XT_MATCH_PHYSDEV,3.932710238407645e-16,8.142097020102002
CPU_IDLE_GOV_LADDER,3.575405488917802e-16,8.153626829759158
USB_CONFIGFS_RNDIS,3.520711916336765e-16,8.15549133639581
